sv,t_k,delT_sv,x_k,y_k,z_k,Cn0
G02,3139.342218269012,-0.0004539831135723087,14591866.966557112,-5125610.266319888,22056116.95658494,47.2
G03,3139.3385134040145,0.0003086409178995395,23173479.482240584,-12102446.045672685,4147832.625594413,44.3
G08,3139.3481743880548,0.00011965602368855644,24944545.530409124,4723196.893046651,8404084.294735465,50.7
G10,3155.342627316015,-8.485407195148652e-06,-1422253.478673378,17205202.58820848,20295954.526775006,36.2
G21,3139.346333184978,0.00012735615941300015,15717806.50748737,1649481.8821763806,21896290.070443552,44.1
G27,3139.3447563149966,-1.840448418245726e-05,23134798.299755145,13296734.952176219,-2727530.9775311192,43.2
G28,3139.3391074769897,-0.0002019079106622435,5190524.141343625,25780713.095625866,-3750984.7821385763,38.1
G32,3139.3471254500328,-0.0006180522338337888,8004524.969909515,17928069.811361097,18190163.98179976,42.2
