Pos.X,Pos.Y,Pos.Z,Latitude,Longitude,Altitude
4438536.937786618,3085403.9035086036,3376938.4350600094,32.16670230776335,34.80470319700689,1586.8688293797895
4434962.066404655,3084226.3454588642,3374381.9002307574,32.164504431992626,34.81608999303601,-2827.8229289408773
4439099.880475264,3086224.98325969,3377297.7264468926,32.1649764563389,34.808442790638274,2566.1637699902058
4435063.317915991,3084401.0151327415,3374450.8671727185,32.16415294241703,34.816997799121424,-2636.318252056837
4436895.187962256,3085311.0287732314,3376332.441847929,32.168802465839285,34.813829711825655,78.31220992933959
4436859.787447068,3085277.33768652,3376307.1990735386,32.168841671064506,34.81375072324594,23.988392984494567
4435644.987578524,3083518.7160143573,3375071.864960321,32.169020748991436,34.80579285340289,-2327.8141754372045
4436872.856654197,3085287.3560501654,3376325.2550093113,32.16890052209003,34.81375882171954,47.52594459056854
4436880.702632091,3085288.7107172273,3376330.5653993185,32.16890641746765,34.813723122580114,56.46068826876581
4436888.6822261745,3085288.716610018,3376321.4162771534,32.16880510687168,34.81367487436201,57.13799793366343
4436876.875458928,3085286.167260832,3376318.1143632573,32.16883343084599,34.81372414847668,45.942605532705784
4435670.710286516,3085270.6545510474,3375070.7660863926,32.164107583435495,34.82089122908506,-1463.8571550985798
4435074.72419336,3084400.5422409847,3374453.1272202507,32.16412652555797,34.81692460947807,-2627.416533776559
4435675.594970458,3085277.3468664773,3375070.955212182,32.16407142268379,34.82091991088726,-1457.1269517512992
4435660.689463705,3085258.1745860204,3375064.6127832364,32.16413431917068,34.820843263297554,-1480.1293349321932
4436886.458427832,3085296.781610853,3376319.9993954226,32.16878095022978,34.8137585365331,58.73568754643202
4436884.1234682035,3085286.9185769046,3376322.668436405,32.16883756394797,34.813686816955986,53.767524126917124
4436887.397127599,3085285.706649809,3376329.445668002,32.168879715379866,34.813656452671154,59.06525663565844
4436902.022354482,3085279.4682255145,3376338.976966529,32.16891192101312,34.81351362583568,71.28922503441572
4436886.931285642,3085272.45925453,3376316.5087452033,32.168819110081046,34.813543960068024,45.45169001817703
4436904.354170852,3085268.304024656,3376322.951287817,32.168810999505055,34.81340233268852,58.98220757674426
4436898.503224559,3085262.394158854,3376322.4088218883,32.16884612187731,34.813386304815005,51.771111148409545
4436891.574308544,3085249.5907270974,3376310.0637342744,32.16881429401589,34.813316796147845,34.19555576797575
4434495.568552578,3085022.0683469675,3375338.595035286,32.17146745298624,34.82584380803703,-2258.0341872386634
4434500.724957037,3085015.167277417,3375336.7973394888,32.17145232424053,34.82575249015892,-2258.7444103760645
4436923.042498885,3085231.396249134,3376322.050987952,32.168831625312414,34.81296795003809,53.65481892321259
4436927.906249026,3085220.5546485656,3376321.57603679,32.16883854439252,34.812844139165755,51.54288928024471
4436932.262011585,3085215.1594855348,3376322.949551291,32.16884664722834,34.812770812058936,52.694104042835534
4436933.520664926,3085207.733310367,3376317.7041114625,32.16882199999366,34.81269855174263,47.18736174702644
4436937.341605446,3085196.0661594733,3376324.0626459434,32.16888745575806,34.812573866360246,47.59005443286151
4436936.713833471,3085194.2984186495,3376312.7398061096,32.168808342937695,34.812562278530436,40.27103736810386
4435813.182421482,3085293.0418349057,3375186.700211637,32.16436980806002,34.82022345182763,-1292.3073640353978
4436944.7446189,3085181.6446372517,3376323.687247415,32.16889493730825,34.81240352373054,45.56594708375633
4435751.852738033,3085162.3355934755,3375072.505585674,32.16409799322728,34.81945694803265,-1458.898846693337
4435754.623843133,3085152.3203462414,3375069.3046465623,32.1640900875269,34.8193529813836,-1463.5180109320208
4436952.714653061,3085173.483690739,3376316.9607270947,32.16883454194642,34.81228424528433,43.579919135198
4436951.2884846935,3085167.7285908535,3376327.7838253104,32.168938556668444,34.81224278111253,45.570012643933296
4435555.976867007,3084960.2958098412,3376385.12294326,32.17544601594147,34.81888406247337,-993.7915638862178
4434951.490797499,3085023.299357364,3375110.3369553923,32.1679234458022,34.82309315383759,-2062.1609142879024
4436969.896735602,3085160.0297180964,3376321.8461912447,32.16884098090008,34.812063135543326,51.6207357076928
4436972.226697638,3085151.0355427773,3376315.6771687903,32.16880935784883,34.811970741597015,45.609153896570206
4436976.148788205,3085150.9811285194,3376316.0099183503,32.16879658621586,34.811946529014676,48.48582611884922
4436980.102177129,3085134.3390271477,3376300.64890738,32.168709358974326,34.81177773597834,35.012771463021636
4436977.858601307,3085129.91732175,3376310.5956584746,32.16880625154588,34.811752825678106,36.612550302408636
4436986.927948707,3085123.376134498,3376305.538856163,32.16874982810339,34.811640993319564,37.062370331957936
4435795.0349197965,3085092.8747438295,3375059.6331244707,32.16401991994926,34.81859079213524,-1469.315623017028
4437012.795961303,3085113.11848581,3376316.1531337807,32.16875699606322,34.81139513567479,55.73473674617708
4437014.026413344,3085098.0648919307,3376308.9686648836,32.16873856370708,34.81125665045509,45.49032115750015
4437024.297678208,3085090.647737978,3376319.576675516,32.16879938022975,34.81112991898978,54.692429998889565
4437018.532985831,3085080.4909157082,3376311.691220741,32.16878975013823,34.811076396725696,41.579533936455846
4437030.470437153,3085071.6965372725,3376318.4081792133,32.16881807079626,34.810927592244035,49.202497355639935
4437035.759378991,3085076.0683862176,3376318.7755293874,32.16878804299031,34.81093363722471,55.18649576790631
4437031.986644629,3085074.815294907,3376314.2960051033,32.168772155387906,34.81094556363372,49.573956162668765
4437034.256784104,3085067.2324828794,3376323.559365238,32.16885470193357,34.81086581679105,52.41939883027226
4437026.56387253,3085060.3794989577,3376298.7717297813,32.168714594427264,34.81085272379306,30.563953505828977
4437056.144185677,3085073.0323184384,3376316.241189286,32.168696661274375,34.81078383115756,66.53745083790272
4437048.661440319,3085066.375404952,3376316.086133446,32.16874322060093,34.81077117279581,58.037573443725705
4437058.147752282,3085073.662538557,3376318.564527316,32.16870477098533,34.81077719067492,69.4714467972517
4437057.443723282,3085071.301063598,3376305.0542089185,32.16861088790222,34.810760895608965,60.6479358933866
4437057.297681983,3085079.191451579,3376289.6635770923,32.16847235259083,34.81083046363104,56.165172493085265
4437059.560188063,3085063.4493927024,3376283.670295488,32.16846083073927,34.81067973869842,46.93966808356345
4437064.20909033,3085071.015002806,3376277.3870845726,32.16837380543514,34.810717458763584,50.48135990276933
4437085.82314822,3085076.473297662,3376287.3541408596,32.16834972641787,34.81063415546509,73.4473503511399
4437086.329788863,3085064.309437507,3376283.6508610016,32.16835279933027,34.810525205454205,65.9498639125377
4437089.384390278,3085071.589767659,3376266.245021263,32.16818793612462,34.81057009156974,62.32389874663204
4437069.462337986,3085060.058298534,3376229.999288222,32.168021390073726,34.81059028819136,23.60818553622812
4437095.382713289,3085062.5407621264,3376233.603474372,32.16793992154181,34.8104550180955,44.74150186125189
4437106.358828746,3085065.5865500728,3376233.353634166,32.16788639906585,34.810415099949324,53.70879089832306
4437114.732458189,3085064.0008526016,3376233.9568722267,32.16786234152288,34.810350617021975,59.08344290126115
4437098.621445108,3085055.6879759934,3376216.988836456,32.16781910741833,34.81037576418063,34.83530681300908
4437111.5089613,3085055.5230961926,3376224.487143437,32.16782599623919,34.81029632964498,47.70468224119395
4437102.455260728,3085039.699325362,3376218.4002441997,32.1678585902964,34.81021338263252,30.525093633681536
