N,E,D
-19030.27297572405,580.5116242131357,-6372134.611164318
-19033.75891543242,578.2502226102587,-6372141.557807338
-19032.536180186366,580.0297878281973,-6372136.132575074
-19026.435738203396,590.0124038245758,-6372111.875256618
-18631.97681985258,-369.318920506577,-6369396.924496685
-19038.214077253524,601.3419879541443,-6372124.70292404
-19029.614600712095,610.9429115655568,-6372109.757619239
-19026.60952270683,611.0188811677547,-6372088.735307171
-19025.26932555982,631.0498280305424,-6372104.676887401
-19029.827338608047,642.8585386790603,-6372128.81146012
-19033.54905022731,648.2948986407853,-6372126.93341269
-19030.288172852477,664.3961295331975,-6372132.754425175
-19030.31796870532,666.4325040503521,-6372110.901201639
-18971.578872933795,-90.55690056526498,-6369648.649418214
-19025.153768974058,703.3039412345978,-6372155.663097831
-19549.178425398273,1373.7186777285247,-6370679.528743748
-19544.0171354577,1377.5957808164646,-6370654.252267962
-19024.913444577447,714.2131179519961,-6372135.146973089
-19024.700393580402,721.7872283142451,-6372133.200385461
-19019.26399931465,724.1994422699341,-6372123.97143155
-19020.412707752253,734.6242472299073,-6372135.478184102
-19023.08228909386,742.0203489109447,-6372119.132243431
-18625.16288231662,-203.11522180182095,-6369412.014639784
-19022.31439795491,764.2446721916147,-6372129.446754194
-19019.236026983937,765.9319950427118,-6372121.60477157
-19022.981382850645,778.8803344827237,-6372129.455046261
-19020.758492097735,780.3014927257437,-6372105.431122699
-18967.004836043223,22.32766319629505,-6369633.0896720905
-19024.899140866073,802.8076968977163,-6372121.964140862
-19027.63040666882,806.3291470032145,-6372143.3426863365
-19022.64354102185,818.772479848033,-6372118.1363175735
-18629.915269012177,-138.07040586193477,-6369419.8192201005
-18624.419783435704,-128.93973438053857,-6369421.704069629
-19020.811170917437,835.2686742914012,-6372130.894905273
-19026.56884368092,841.6267253588792,-6372130.42448029
-18963.279075350223,65.24516795295754,-6369636.316384769
-19019.067142475982,834.8428553514727,-6372136.223415567
-19497.63380463001,381.0174577371328,-6374488.251225728
-19027.829905492385,832.4486338183499,-6372149.935201559
-19578.598248282135,-227.75105635514382,-6371488.58968157
-19599.953080222887,443.1616156527922,-6373959.9435075335
-19018.147167484047,832.507544954909,-6372131.752638535
