sv,t_k,delT_sv,x_k,y_k,z_k,Cn0
G08,3231.355458996026,0.00011965815753207226,25023639.6240527,4783845.8041696865,8137692.350133545,27.7
G10,3247.3498486520257,-8.485804675530217e-06,-1620081.7744787037,17327678.89277763,20172485.06377191,48.3
G21,3231.3537698470755,0.00012735601297251685,15757452.408317765,1890975.9571634931,21856363.72227612,45.7
G27,3231.351921542082,-1.840469338253051e-05,23098436.983025927,13303367.387089957,-3014966.440680798,37.9
G32,3231.3543807700044,-0.0006180522756738444,7810468.746056123,17849813.844240233,18350828.84000951,48.5
